num_patches_N,feature_dim_D,target_coreset_M,time_cpu_sec,time_gpu_unbatched_sec,time_gpu_batched_sec,speedup_vs_cpu,speedup_unbatched_vs_cpu,peak_vram_mb
1000,64,100,0.005128591001266614,0.020023110002512112,0.0027485929895192385,1.8658968500693385,0.25613358767060546,1.3310546875
5000,64,500,0.13509018899640068,0.05163647900917567,0.004572303005261347,29.54532734181275,2.6161773921958447,6.18603515625
10000,64,1000,0.6120278879971011,0.1156150470051216,0.006124211999122053,99.93577754735456,5.2936698453272175,12.23193359375
25000,64,2500,5.65625,0.32185117799963336,0.021952953000436537,257.6532642277112,17.574116196046496,31.06689453125
50000,64,5000,22.625,1.3416407864998738,0.07742376701207832,292.2229293812382,16.863679330310912,62.453125
1000,128,100,0.008009457989828661,0.011593506002100185,0.0010589310113573447,7.5637203027627695,0.6908572772013689,1.5869140625
5000,128,500,0.22773940200568177,0.04723615500552114,0.002776102992356755,82.03564587938571,4.821294239106945,7.4189453125
10000,128,1000,1.2786481700022705,0.1527538660011487,0.011745554991648532,108.86230330635125,8.37064359466133,15.21923828125
25000,128,2500,11.3125,0.6519367980072275,0.021959184989100322,515.160285120558,17.35214216252077,37.8798828125
50000,128,5000,45.25,1.3416407864998738,0.08218871199642308,550.5622232158756,33.727358660621825,74.67236328125
1000,256,100,0.016678031999617815,0.009819005004828796,0.0050181849946966395,3.3235187656978833,1.698546033067086,2.09912109375
5000,256,500,0.6423111280018929,0.062148621000233106,0.0028340689896140248,226.63919980627222,10.335082543496561,9.9072265625
10000,256,1000,3.5547818100021686,0.4898807129939087,0.006293315003858879,564.8504496950302,7.2564232796125,19.69189453125
25000,256,2500,22.625,1.7933573900081683,0.025488382001640275,887.6593264548528,12.616001766327765,49.642578125
50000,256,5000,90.5,1.3416407864998738,0.10283351999532897,880.0632323401047,67.45471732124365,99.11083984375
